conference,team
Atlantic Coast,Clemson
Atlantic Coast,Louisville
Atlantic Coast,Wake Forest
Atlantic Coast,Florida State
Atlantic Coast,Boston College
Atlantic Coast,North Carolina State
Atlantic Coast,Syracuse
Atlantic Coast,Virginia
Atlantic Coast,Virginia Tech
Atlantic Coast,Pittsburgh
Atlantic Coast,Miami (FL)
Atlantic Coast,North Carolina
Atlantic Coast,Duke
Atlantic Coast,Georgia Tech
American Athletic Conference,Cincinnati
American Athletic Conference,UCF
American Athletic Conference,Temple
American Athletic Conference,South Florida
American Athletic Conference,East Carolina
American Athletic Conference,Connecticut
American Athletic Conference,Memphis
American Athletic Conference,Navy
American Athletic Conference,SMU
American Athletic Conference,Tulane
American Athletic Conference,Houston
American Athletic Conference,Tulsa
Big 12,Baylor
Big 12,Oklahoma
Big 12,Oklahoma State
Big 12,Iowa State
Big 12,Kansas State
Big 12,Texas
Big 12,TCU
Big 12,Texas Tech
Big 12,West Virginia
Big 12,Kansas
Big Ten,Ohio State
Big Ten,Michigan
Big Ten,Penn State
Big Ten,Indiana
Big Ten,Michigan State
Big Ten,Maryland
Big Ten,Rutgers
Big Ten,Minnesota
Big Ten,Wisconsin
Big Ten,Iowa
Big Ten,Illinois
Big Ten,Nebraska
Big Ten,Purdue
Big Ten,Northwestern
Conference USA,Florida Atlantic
Conference USA,Marshall
Conference USA,Western Kentucky
Conference USA,Charlotte
Conference USA,Florida International
Conference USA,Middle Tennessee
Conference USA,Old Dominion
Conference USA,Louisiana Tech
Conference USA,UAB
Conference USA,Southern Miss
Conference USA,North Texas
Conference USA,UTSA
Conference USA,Rice
Conference USA,UTEP
Independents(FBS),Notre Dame
Independents(FBS),Brigham Young
Independents(FBS),Liberty
Independents(FBS),Army
Independents(FBS),New Mexico State
Independents(FBS),Massachusetts
Mid-American,Central Michigan
Mid-American,Western Michigan
Mid-American,Eastern Michigan
Mid-American,Toledo
Mid-American,Ball State
Mid-American,Northern Illinois
Mid-American,Miami (OH)
Mid-American,Buffalo
Mid-American,Kent State
Mid-American,Ohio
Mid-American,Bowling Green
Mid-American,Akron
Mountain West,Boise State
Mountain West,Air Force
Mountain West,Utah State
Mountain West,Wyoming
Mountain West,Colorado State
Mountain West,New Mexico
Mountain West,San Diego State
Mountain West,Hawaii
Mountain West,Nevada
Mountain West,Fresno State
Mountain West,San Jose State
Mountain West,UNLV
Pac-12,Utah
Pac-12,USC
Pac-12,UCLA
Pac-12,Arizona State
Pac-12,Colorado
Pac-12,Arizona
Pac-12,Oregon
Pac-12,Oregon State
Pac-12,California
Pac-12,Washington
Pac-12,Washington State
Pac-12,Stanford
Southeastern,LSU
Southeastern,Alabama
Southeastern,Auburn
Southeastern,Texas A&M
Southeastern,Mississippi State
Southeastern,Ole Miss
Southeastern,Arkansas
Southeastern,Georgia
Southeastern,Florida
Southeastern,Tennessee
Southeastern,Kentucky
Southeastern,South Carolina
Southeastern,Missouri
Southeastern,Vanderbilt
Sun Belt,Appalachian State
Sun Belt,Georgia State
Sun Belt,Georgia Southern
Sun Belt,Troy
Sun Belt,Coastal Carolina
Sun Belt,Louisiana-Lafayette
Sun Belt,Arkansas State
Sun Belt,Louisiana-Monroe
Sun Belt,Texas State
Sun Belt,South Alabama
