week,winner_team,winner_score,winner_rank,loser_team,loser_score,loser_rank,winner_conference,loser_conference,winner_lat,winner_long,loser_lat,loser_long
1,Florida,24,8.0,Miami (FL),20,,Southeastern,Atlantic Coast,27.664827399999997,-81.5157535,25.7616798,-80.1917902
1,Hawaii,45,,Arizona,38,,Mountain West,Pac-12,19.8967662,-155.58278180000005,34.048928100000005,-111.0937311
1,Buffalo,38,,Robert Morris,10,,Mid-American,,42.88644679999999,-78.8783689,,
1,Cincinnati,24,,UCLA,14,,American Athletic Conference,Pac-12,39.103118200000004,-84.5120196,34.068921,-118.4451811
1,Bowling Green,46,,Morgan State,3,,Mid-American,,41.3797788,-83.6300826,,
1,Connecticut,24,,Wagner,21,,American Athletic Conference,,41.60322070000001,-73.087749,,
1,Charlotte,49,,Gardner-Webb,28,,Conference USA,,35.2270869,-80.8431267,,
1,Central Ark.,35,,Western Kentucky,28,,,Conference USA,,,36.9853543,-86.456138
1,UCF,62,17.0,Florida A&M,0,,American Athletic Conference,,28.602427399999996,-81.2000599,,
1,Tulane,42,,Florida International,14,,American Athletic Conference,Conference USA,29.940728200000002,-90.1203167,25.756127499999998,-80.3768786
1,UAB,24,,Alabama State,19,,Conference USA,,33.5019893,-86.8064433,,
1,Central Michigan,38,,Albany,21,,Mid-American,,43.5819086,-84.77563640000002,,
1,Clemson,52,1.0,Georgia Tech,14,,Atlantic Coast,Atlantic Coast,34.673843700000006,-82.83686540000002,33.7756178,-84.39628499999998
1,Texas A&M,41,12.0,Texas State,7,,Southeastern,Sun Belt,30.6090918,-96.33371240000001,29.888410999999998,-97.938351
1,Minnesota,28,,South Dakota State,21,,Big Ten,,46.729553,-94.6858998,,
1,Arizona State,30,,Kent State,7,,Pac-12,Mid-American,34.048928100000005,-111.0937311,41.145559399999996,-81.33928829999998
1,San Jose State,35,,Northern Colo.,18,,Mountain West,,37.3351874,-121.8810715,,
1,Utah,30,14.0,Brigham Young,12,,Pac-12,Independents(FBS),39.32098010000001,-111.0937311,40.2518435,-111.6493156
1,Army,14,,Rice,7,,Independents(FBS),Conference USA,37.1033072,-95.5678528,29.7173941,-95.4018312
1,Michigan State,28,18.0,Tulsa,7,,Big Ten,American Athletic Conference,42.701848,-84.4821719,36.1539816,-95.992775
1,Wisconsin,49,19.0,South Florida,0,,Big Ten,American Athletic Conference,43.78443970000001,-88.7878678,27.664827399999997,-81.5157535
1,Rutgers,48,,Massachusetts,21,,Big Ten,Independents(FBS),40.500818599999995,-74.44739910000001,42.4072107,-71.3824374
1,Wake Forest,38,,Utah State,35,,Atlantic Coast,Mountain West,36.1340985,-80.2778951,41.745160999999996,-111.8097425
1,Nevada,34,,Purdue,31,,Mountain West,Big Ten,38.8026097,-116.419389,40.4237054,-86.92119459999998
1,Colorado,52,,Colorado State,31,,Pac-12,Mountain West,39.55005070000001,-105.78206740000002,39.55005070000001,-105.78206740000002
1,Oklahoma State,52,,Oregon State,36,,Big 12,Pac-12,36.1270236,-97.0737222,44.5637806,-123.2794443
1,North Carolina State,34,,East Carolina,6,,Atlantic Coast,American Athletic Conference,35.7846633,-78.6820946,35.6055108,-77.3645653
1,Kansas,24,,Indiana State,17,,Big 12,,39.011902,-98.4842465,,
1,Memphis,15,,Ole Miss,10,,American Athletic Conference,Southeastern,35.1495343,-90.0489801,34.364732399999994,-89.538443
1,Mississippi State,38,,Louisiana-Lafayette,28,,Southeastern,Sun Belt,33.455174199999995,-88.79437659999998,30.211440399999997,-92.02041209999999
1,Indiana,34,,Ball State,24,,Big Ten,Mid-American,40.2671941,-86.1349019,40.2041356,-85.4058996
1,Iowa State,29,21.0,UNI,26,,Big 12,,42.0266187,-93.64646540000001,,
1,Boise State,36,,Florida State,31,,Mountain West,Atlantic Coast,43.60269520000001,-116.2014604,30.4418778,-84.29848890000002
1,Ohio State,45,5.0,Florida Atlantic,21,,Big Ten,Conference USA,40.006836299999996,-83.03062220000002,26.374987599999997,-80.10106329999998
1,Maryland,79,,Howard,0,,Big Ten,,39.0457549,-76.64127119999998,,
1,Nebraska,35,24.0,South Alabama,21,,Big Ten,Sun Belt,41.4925374,-99.9018131,30.6959406,-88.184236
1,Illinois,42,,Akron,3,,Big Ten,Mid-American,40.6331249,-89.3985283,41.08144470000001,-81.51900529999998
1,Kentucky,38,,Toledo,24,,Southeastern,Mid-American,37.83933320000001,-84.2700179,41.6528052,-83.53786740000002
1,Ohio,41,,Rhode Island,20,,Mid-American,,40.4172871,-82.90712300000001,,
1,West Virginia,20,,James Madison,13,,Big 12,,38.59762620000001,-80.4549026,,
1,Temple,56,,Bucknell,12,,American Athletic Conference,,37.0421218,-95.6273972,,
1,Washington,47,13.0,Eastern Wash.,14,,Pac-12,,47.751074100000004,-120.7401385,,
1,Eastern Michigan,30,,Coastal Carolina,23,,Mid-American,Sun Belt,42.2506803,-83.624089,33.7965964,-79.01336119999998
1,North Carolina,24,,South Carolina,20,,Atlantic Coast,Southeastern,35.75957310000001,-79.01929969999998,33.836081,-81.1637245
1,Navy,45,,Holy Cross,7,,American Athletic Conference,,37.22462279999999,-95.70705240000001,,
1,Alabama,42,2.0,Duke,3,,Southeastern,Atlantic Coast,32.3182314,-86.902298,36.0014258,-78.9382286
1,Penn State,79,15.0,Idaho,7,,Big Ten,,40.7982133,-77.85990840000002,,
1,Georgia State,38,,Tennessee,30,,Sun Belt,Southeastern,33.753068,-84.38528190000002,35.517491299999996,-86.5804473
1,Air Force,48,,Colgate,7,,Mountain West,,37.0955676,-94.4778033,,
1,Appalachian State,42,,ETSU,7,,Sun Belt,,36.2134842,-81.6841448,,
1,Arkansas,20,,Portland State,13,,Southeastern,,35.20105,-91.83183340000001,,
1,Boston College,35,,Virginia Tech,28,,Atlantic Coast,Atlantic Coast,42.3355488,-71.16849450000002,37.22838429999999,-80.42341669999998
1,Stanford,17,25.0,Northwestern,7,,Pac-12,Big Ten,37.4274745,-122.169719,42.0564594,-87.67526699999998
1,Texas Tech,45,,Montana State,10,,Big 12,,33.584259100000004,-101.8782822,,
1,UTSA,35,,UIW,7,,Conference USA,,29.5829744,-98.6197293,,
1,Troy,43,,Campbell,14,,Sun Belt,,42.6064095,-83.1497751,,
1,New Mexico,39,,Sam Houston State,31,,Mountain West,,34.5199402,-105.87009009999998,,
1,Syracuse,24,22.0,Liberty,0,,Atlantic Coast,Independents(FBS),43.0481221,-76.14742439999998,37.1556278,-95.5947005
1,Marshall,56,,VMI,17,,Conference USA,,36.056901,-96.005218,,
1,California,27,,UC Davis,13,,Pac-12,,36.778261,-119.4179324,,
1,Northern Illinois,24,,Illinois State,10,,Mid-American,,41.934233,-88.774069,,
1,Old Dominion,24,,Norfolk State,21,,Conference USA,,37.370863299999996,-95.26379140000002,,
1,Western Michigan,48,,Monmouth,13,,Mid-American,,42.2837336,-85.6102507,,
1,Kansas State,49,,Nicholls State,14,,Big 12,,39.1974437,-96.58472490000001,,
1,Southern Miss,38,,Alcorn State,10,,Conference USA,,31.330011499999998,-89.3340423,,
1,SMU,37,,Arkansas State,30,,American Athletic Conference,Sun Belt,32.8412178,-96.7845175,35.20105,-91.83183340000001
1,Baylor,56,,SFA,17,,Big 12,,31.5497007,-97.1143046,,
1,Virginia,30,,Pittsburgh,14,,Atlantic Coast,Atlantic Coast,37.4315734,-78.65689420000002,40.4443533,-79.960835
1,Wyoming,37,,Missouri,31,,Mountain West,Southeastern,43.075967799999994,-107.29028390000002,37.9642529,-91.83183340000001
1,Georgia,30,3.0,Vanderbilt,6,,Southeastern,Southeastern,32.1656221,-82.9000751,36.1447034,-86.8026551
1,LSU,55,6.0,Georgia Southern,3,,Southeastern,Sun Belt,30.413257899999998,-91.1800023,32.42054890000001,-81.78653469999998
1,Michigan,40,7.0,Middle Tennessee,21,,Big Ten,Conference USA,44.3148443,-85.60236429999998,35.8486105,-86.3648813
1,North Texas,51,,Abilene Christian,31,,Conference USA,,33.207488,-97.1525862,,
1,Auburn,27,16.0,Oregon,21,11.0,Southeastern,Pac-12,32.6098566,-85.48078249999998,43.8041334,-120.55420120000001
1,Iowa,38,20.0,Miami (OH),14,,Big Ten,Mid-American,41.8780025,-93.097702,39.5105334,-84.73087679999998
1,TCU,39,,Ark.-Pine Bluff,7,,Big 12,,32.7095936,-97.36356020000001,,
1,Louisiana-Monroe,31,,Grambling,9,,Sun Belt,,32.528282,-92.073415,,
1,Texas,45,10.0,Louisiana Tech,14,,Big 12,Conference USA,31.968598800000002,-99.9018131,32.5282644,-92.6499298
1,UTEP,36,,Houston Baptist,34,,Conference USA,,31.7709368,-106.50464050000001,,
1,San Diego State,6,,Weber State,0,,Mountain West,,32.77572170000001,-117.0718893,,
1,Washington State,58,23.0,New Mexico State,7,,Pac-12,Independents(FBS),47.751074100000004,-120.7401385,32.2787745,-106.7479059
1,UNLV,56,,Southern Utah,23,,Mountain West,,36.1085197,-115.1431709,,
1,USC,31,,Fresno State,23,,Pac-12,Mountain West,34.0223519,-118.285117,36.8124451,-119.7457805
1,Oklahoma,49,4.0,Houston,31,,Big 12,American Athletic Conference,35.007751899999995,-97.092877,29.7604267,-95.36980279999999
1,Notre Dame,35,9.0,Louisville,17,,Independents(FBS),Atlantic Coast,41.7055716,-86.2353388,38.252664700000004,-85.7584557
2,Virginia,52,,William & Mary,17,,Atlantic Coast,,37.4315734,-78.65689420000002,,
2,Wake Forest,41,,Rice,21,,Atlantic Coast,Conference USA,36.1340985,-80.2778951,29.7173941,-95.4018312
2,Boise State,14,24.0,Marshall,7,,Mountain West,Conference USA,43.60269520000001,-116.2014604,36.056901,-96.005218
2,Arizona State,19,,Sacramento State,7,,Pac-12,,34.048928100000005,-111.0937311,,
2,Pittsburgh,20,,Ohio,10,,Atlantic Coast,Mid-American,40.4443533,-79.960835,40.4172871,-82.90712300000001
2,Virginia Tech,31,,Old Dominion,17,,Atlantic Coast,Conference USA,37.22838429999999,-80.42341669999998,37.370863299999996,-95.26379140000002
2,Iowa,30,20.0,Rutgers,0,,Big Ten,Big Ten,41.8780025,-93.097702,40.500818599999995,-74.44739910000001
2,Kansas State,52,,Bowling Green,0,,Big 12,Mid-American,39.1974437,-96.58472490000001,41.3797788,-83.6300826
2,Missouri,38,,West Virginia,7,,Southeastern,Big 12,37.9642529,-91.83183340000001,38.59762620000001,-80.4549026
2,Maryland,63,,Syracuse,20,21.0,Big Ten,Atlantic Coast,39.0457549,-76.64127119999998,43.0481221,-76.14742439999998
2,Purdue,42,,Vanderbilt,24,,Big Ten,Southeastern,40.4237054,-86.92119459999998,36.1447034,-86.8026551
2,UAB,31,,Akron,20,,Conference USA,Mid-American,33.5019893,-86.8064433,41.08144470000001,-81.51900529999998
2,Kent State,26,,Kennesaw State,23,,Mid-American,,41.145559399999996,-81.33928829999998,,
2,South Carolina,72,,Charleston So.,10,,Southeastern,,33.836081,-81.1637245,,
2,Ohio State,42,5.0,Cincinnati,0,,Big Ten,American Athletic Conference,40.006836299999996,-83.03062220000002,39.103118200000004,-84.5120196
2,Michigan,24,7.0,Army,21,,Big Ten,Independents(FBS),44.3148443,-85.60236429999998,37.1033072,-95.5678528
2,Memphis,55,,Southern Univ.,24,,American Athletic Conference,,35.1495343,-90.0489801,,
2,North Carolina State,41,,Western Caro.,0,,Atlantic Coast,,35.7846633,-78.6820946,,
2,Utah,35,13.0,Northern Illinois,17,,Pac-12,Mid-American,39.32098010000001,-111.0937311,41.934233,-88.774069
2,Georgia Tech,14,,South Florida,10,,Atlantic Coast,American Athletic Conference,33.7756178,-84.39628499999998,27.664827399999997,-81.5157535
2,Ball State,57,,Fordham,29,,Mid-American,,40.2041356,-85.4058996,,
2,Miami (OH),48,,Tennessee Tech,17,,Mid-American,,39.5105334,-84.73087679999998,,
2,Mississippi State,38,,Southern Miss,15,,Southeastern,Conference USA,33.455174199999995,-88.79437659999998,31.330011499999998,-89.3340423
2,Appalachian State,56,,Charlotte,41,,Sun Belt,Conference USA,36.2134842,-81.6841448,35.2270869,-80.8431267
2,Clemson,24,1.0,Texas A&M,10,12.0,Atlantic Coast,Southeastern,34.673843700000006,-82.83686540000002,30.6090918,-96.33371240000001
2,Boston College,45,,Richmond,13,,Atlantic Coast,,42.3355488,-71.16849450000002,,
2,Indiana,52,,Eastern Illinois,0,,Big Ten,,40.2671941,-86.1349019,,
2,Southern Illinois,45,,Massachusetts,20,,,Independents(FBS),,,42.4072107,-71.3824374
2,Colorado,34,,Nebraska,31,25.0,Pac-12,Big Ten,39.55005070000001,-105.78206740000002,41.4925374,-99.9018131
2,Wisconsin,61,17.0,Central Michigan,0,,Big Ten,Mid-American,43.78443970000001,-88.7878678,43.5819086,-84.77563640000002
2,Louisiana Tech,20,,Grambling,14,,Conference USA,,32.5282644,-92.6499298,,
2,Illinois,31,,Connecticut,23,,Big Ten,American Athletic Conference,40.6331249,-89.3985283,41.60322070000001,-73.087749
2,Baylor,63,,UTSA,14,,Big 12,Conference USA,31.5497007,-97.1143046,29.5829744,-98.6197293
2,Colorado State,38,,Western Illinois,13,,Mountain West,,39.55005070000001,-105.78206740000002,,
2,Georgia,63,3.0,Murray State,17,,Southeastern,,32.1656221,-82.9000751,,
